CENTRAL POLLUTION CONTROL BOARD,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,
"Date: Sunday, Aug 01 2021",,,,,,,,
Time: 12:08:57 PM,,,,,,,,
State,Uttar Pradesh,,,,,,,
City,Varanasi,,,,,,,
Station,"Ardhali Bazar, Varanasi - UPPCB",,,,,,,
Parameter,PM2.5,,,,,,,
AvgPeriod,24 Hours,,,,,,,
From,01-01-2017T00:00:00Z 00:00,,,,,,,
To,31-07-2021T23:59:59Z 00:00,,,,,,,
,,,,,,,,
"Ardhali Bazar, Varanasi - UPPCB",,,,,,,,
Prescribed Standards, ,0-60,,,,,,
Exceeding Standards, ,,,,,,,
Remarks,,,,,,,,
From Date,To Date,PM2.5,,,,,,
01-01-2017 00:00,02-01-2017 00:00,166.55,,,,,,
02-01-2017 00:00,03-01-2017 00:00,180.03,,,,,,
03-01-2017 00:00,04-01-2017 00:00,256.68,,,,,,
04-01-2017 00:00,05-01-2017 00:00,217.26,,,,,,
05-01-2017 00:00,06-01-2017 00:00,237.09,,,,,,
06-01-2017 00:00,07-01-2017 00:00,264.48,,,,,,
07-01-2017 00:00,08-01-2017 00:00,189.35,,,,,,
08-01-2017 00:00,09-01-2017 00:00,233.16,,,,,,
09-01-2017 00:00,10-01-2017 00:00,261.68,,,,,,
10-01-2017 00:00,11-01-2017 00:00,218.69,,,,,,
11-01-2017 00:00,12-01-2017 00:00,118.02,,,,,,
12-01-2017 00:00,13-01-2017 00:00,166.23,,,,,,
13-01-2017 00:00,14-01-2017 00:00,225.22,,,,,,
14-01-2017 00:00,15-01-2017 00:00,302.36,,,,,,
15-01-2017 00:00,16-01-2017 00:00,272.61,,,,,,
16-01-2017 00:00,17-01-2017 00:00,355.27,,,,,,
17-01-2017 00:00,18-01-2017 00:00,435.8,,,,,,
18-01-2017 00:00,19-01-2017 00:00,310.46,,,,,,
