Dates,PM2.5,Missing Days
01-2017,231.23190476190476,32.26
02-2017,164.26708333333332,14.29
03-2017,150.14333333333335,3.23
04-2017,130.73799999999997,0.0
05-2017,122.21827586206898,6.45
06-2017,20.51,96.67
07-2017,18.86,93.55
08-2017,0.0,100.0
09-2017,71.508,83.33
10-2017,92.112,3.23
11-2017,182.70499999999998,0.0
12-2017,277.8903225806452,0.0
01-2018,146.18096774193546,0.0
02-2018,126.5767857142857,0.0
03-2018,106.26451612903223,0.0
04-2018,70.7709523809524,30.0
05-2018,81.60354838709675,0.0
06-2018,69.238,0.0
07-2018,36.171612903225814,0.0
08-2018,40.18032258064516,0.0
09-2018,53.47566666666665,0.0
10-2018,104.3683870967742,0.0
11-2018,179.36666666666667,0.0
12-2018,209.49774193548387,0.0
01-2019,168.19193548387094,0.0
02-2019,138.3828571428571,0.0
03-2019,112.86806451612905,0.0
04-2019,94.77266666666667,0.0
05-2019,90.36483870967741,0.0
06-2019,61.010999999999996,0.0
07-2019,36.82548387096774,0.0
08-2019,35.659677419354836,0.0
09-2019,30.63653846153846,13.33
10-2019,86.95290322580645,0.0
11-2019,149.57724137931035,3.33
12-2019,148.19814814814816,12.9
01-2020,124.19548387096773,0.0
02-2020,89.34103448275863,0.0
03-2020,57.9925806451613,0.0
04-2020,46.47000000000001,0.0
05-2020,37.274333333333324,3.23
06-2020,21.31766666666666,0.0
07-2020,22.92548387096774,0.0
08-2020,18.82103448275862,6.45
09-2020,36.74133333333334,0.0
10-2020,73.78967741935483,0.0
11-2020,115.03033333333335,0.0
12-2020,153.6151612903226,0.0
01-2021,126.78357142857146,9.68
02-2021,106.9407142857143,0.0
03-2021,91.21419354838709,0.0
04-2021,70.48499999999999,0.0
05-2021,42.64806451612903,0.0
06-2021,29.568,0.0
07-2021,21.123870967741933,0.0
