IST,PM2.5_ATM_µg/m3,PM 2.5
2/27/2021 9:30,110.16,110.4
2/27/2021 10:30,52.34,87.4
2/27/2021 11:30,35.44,63.7
2/27/2021 14:30,33.77,4
2/27/2021 15:30,40.69,7.1
2/27/2021 16:30,43.98,30.9
2/27/2021 17:30,55.28,39.9
2/27/2021 18:30,107.88,67.5
2/27/2021 19:30,93.29,70.3
2/27/2021 20:30,101.72,74.5
2/27/2021 21:30,135.47,71.4
2/27/2021 22:30,147.99,67.7
2/27/2021 23:30,118.38,73.2
2/28/2021 0:30,128.46,65.1
2/28/2021 1:30,127.51,62.7
2/28/2021 2:30,133.6,60.8
2/28/2021 3:30,138.85,60.8
2/28/2021 4:30,131.4,56.9
2/28/2021 5:30,124.99,62.5
2/28/2021 6:30,127.5,57.4
2/28/2021 7:30,115.34,65.7
2/28/2021 8:30,99.72,58.4
2/28/2021 9:30,101.3,56
2/28/2021 10:30,82.6,61.9
2/28/2021 11:30,68.22,60.4
2/28/2021 12:30,66.21,64.4
2/28/2021 13:30,58.42,54
2/28/2021 14:30,42.32,46.9
2/28/2021 15:30,43.8,45
2/28/2021 16:30,46.05,34.1
2/28/2021 17:30,83.05,34.6
2/28/2021 18:30,97.48,41.9
2/28/2021 19:30,105.46,49.1
2/28/2021 20:30,115.93,73.1
2/28/2021 21:30,105.45,60.9
2/28/2021 22:30,102.97,55
2/28/2021 23:30,87.76,48.5
3/1/2021 0:30,109.32,53.5
3/1/2021 1:30,86,54.8
3/1/2021 2:30,85.69,48.8
3/1/2021 3:30,93.82,48.4
3/1/2021 4:30,82.82,41.1
3/1/2021 5:30,79,41.7
3/1/2021 6:30,82.51,39
3/1/2021 7:30,88.74,40.5
3/1/2021 8:30,88.03,41.3
3/1/2021 9:30,94.24,45.3
3/1/2021 10:30,95.91,51.4
3/1/2021 11:30,78.5,53.9
3/1/2021 12:30,54.48,45.6
3/1/2021 13:30,42.29,52
3/1/2021 14:30,43.94,42.9
3/1/2021 15:30,45.47,40.7
3/1/2021 16:30,49.11,38.4
3/1/2021 17:30,73.38,36.8
3/1/2021 18:30,90.56,46.1
3/1/2021 19:30,104.97,55.2
3/1/2021 20:30,121.86,69.1
3/1/2021 21:30,131.16,70.7
3/1/2021 22:30,112.72,66.2
3/1/2021 23:30,105.92,71.8
3/2/2021 0:30,104.08,62.5
3/2/2021 1:30,96.16,61.1
3/2/2021 2:30,96.84,61.8
3/2/2021 3:30,98.05,61
3/2/2021 4:30,95.07,54.9
3/2/2021 5:30,105.44,51.6
3/2/2021 6:30,112.05,49.1
3/2/2021 7:30,97.91,59.1
3/2/2021 8:30,113.21,55.4
3/2/2021 9:30,105.5,63.9
3/2/2021 14:30,57.88,48.3
3/2/2021 15:30,58.14,51.9
3/2/2021 16:30,55.45,48.2
3/2/2021 17:30,67.02,45.3
3/2/2021 18:30,71.02,50.9
3/2/2021 19:30,65.14,49.8
3/2/2021 20:30,70.25,49.5
3/2/2021 21:30,72.69,43.1
3/2/2021 22:30,73.23,38
3/2/2021 23:30,68.07,44.9
3/3/2021 0:30,63.6,40
3/3/2021 1:30,67.67,30
3/3/2021 2:30,62.66,33.4
3/3/2021 3:30,69.79,37.7
3/3/2021 4:30,79.87,41.8
3/3/2021 5:30,67.31,38.1
3/3/2021 6:30,60.18,38.9
3/3/2021 7:30,62.14,58.7
3/3/2021 8:30,56.99,55.9
3/3/2021 9:30,55.77,57.7
3/3/2021 10:30,53.17,48.2
3/3/2021 11:30,52.83,48.9
3/3/2021 12:30,56.58,52.8
3/3/2021 13:30,60.23,52.9
3/3/2021 14:30,56.17,50.7
3/3/2021 15:30,52.75,46.9
3/3/2021 16:30,51.08,54.8
3/3/2021 17:30,58.45,38.7
3/3/2021 18:30,91.55,49.2
