IST,PM2.5_ATM_µg/m3,PM2.5
2/27/2021 5:30,190.09,130.5
2/27/2021 7:30,176.6,126.4
2/27/2021 8:30,96.31,127.7
2/27/2021 9:30,57.06,114.1
2/27/2021 10:30,41.66,112.5
2/27/2021 13:30,34.75,64
2/27/2021 14:30,40.43,53
2/27/2021 15:30,45.15,48.3
2/27/2021 16:30,46.66,45.8
2/27/2021 17:30,51.01,42.3
2/27/2021 18:30,110.85,50.2
2/27/2021 19:30,115.2,77.9
2/27/2021 20:30,105.12,126.6
2/27/2021 21:30,118.31,103
2/27/2021 22:30,106.25,97
2/27/2021 23:30,109.41,89.6
2/28/2021 0:30,113.34,86.9
2/28/2021 1:30,121.8,75.5
2/28/2021 2:30,132.34,77.7
2/28/2021 3:30,142.03,70.8
2/28/2021 4:30,139.06,75.9
2/28/2021 5:30,139.35,71.1
2/28/2021 6:30,144.79,68.4
2/28/2021 7:30,118.15,68.2
2/28/2021 8:30,123.77,66.4
2/28/2021 9:30,112.26,70.8
2/28/2021 10:30,82.08,77
2/28/2021 11:30,50.63,79
2/28/2021 12:30,51.98,64.5
2/28/2021 13:30,55.07,66.9
2/28/2021 14:30,36.93,66.6
2/28/2021 15:30,43.47,50.5
2/28/2021 16:30,47.26,48.3
2/28/2021 17:30,52.05,49
2/28/2021 18:30,108.67,48.3
2/28/2021 19:30,102.48,74.7
2/28/2021 20:30,90.83,76.8
2/28/2021 21:30,96.95,76.6
2/28/2021 22:30,101.71,72.7
2/28/2021 23:30,100.48,66.7
3/1/2021 0:30,104.04,69.5
3/1/2021 1:30,99.22,67.1
3/1/2021 2:30,83.25,68.5
3/1/2021 3:30,82.8,60.2
3/1/2021 4:30,82.85,56.4
3/1/2021 5:30,83.79,46.4
3/1/2021 6:30,95.58,54
3/1/2021 7:30,87.53,56.7
3/1/2021 8:30,85.36,48.2
3/1/2021 9:30,97.3,63.7
3/1/2021 10:30,92.67,67.1
3/1/2021 11:30,64.78,68
3/1/2021 12:30,45.72,71.2
3/1/2021 13:30,43.01,57.5
3/1/2021 14:30,43.36,55.6
3/1/2021 15:30,41.19,55.2
3/1/2021 16:30,55.86,53.7
3/1/2021 17:30,69.44,64.9
3/1/2021 18:30,92.42,75.5
